file_name,group_name,line_start,line_end
21-24889_DETS_29112021_V4_Gx5QKav.AGS,"PROJ",0,4

21-24889_DETS_29112021_V4_Gx5QKav.AGS,"LOCA",6,14

21-24889_DETS_29112021_V4_Gx5QKav.AGS,"SAMP",16,31

21-24889_DETS_29112021_V4_Gx5QKav.AGS,"GCHM",33,76

21-24889_DETS_29112021_V4_Gx5QKav.AGS,"ABBR",78,89

21-24889_DETS_29112021_V4_Gx5QKav.AGS,"UNIT",91,101

21-24889_DETS_29112021_V4_Gx5QKav.AGS,"TYPE",103,114

21-25178_DETS_01122021_V4_d5hDjpq.AGS,"PROJ",0,4

21-25178_DETS_01122021_V4_d5hDjpq.AGS,"LOCA",6,14

21-25178_DETS_01122021_V4_d5hDjpq.AGS,"SAMP",16,25

21-25178_DETS_01122021_V4_d5hDjpq.AGS,"GCHM",27,46

21-25178_DETS_01122021_V4_d5hDjpq.AGS,"ABBR",48,59

21-25178_DETS_01122021_V4_d5hDjpq.AGS,"UNIT",61,71

21-25178_DETS_01122021_V4_d5hDjpq.AGS,"TYPE",73,84

21-25179_DETS_01122021_V4_Sqe7rox.AGS,"PROJ",0,4

21-25179_DETS_01122021_V4_Sqe7rox.AGS,"LOCA",6,10

21-25179_DETS_01122021_V4_Sqe7rox.AGS,"SAMP",12,20

21-25179_DETS_01122021_V4_Sqe7rox.AGS,"GCHM",22,45

21-25179_DETS_01122021_V4_Sqe7rox.AGS,"ABBR",47,58

21-25179_DETS_01122021_V4_Sqe7rox.AGS,"UNIT",60,70

21-25179_DETS_01122021_V4_Sqe7rox.AGS,"TYPE",72,83

21-26216_DETS_16122021_V4_yBQaTJX.AGS,"PROJ",0,4

21-26216_DETS_16122021_V4_yBQaTJX.AGS,"LOCA",6,11

21-26216_DETS_16122021_V4_yBQaTJX.AGS,"SAMP",13,28

21-26216_DETS_16122021_V4_yBQaTJX.AGS,"GCHM",30,81

21-26216_DETS_16122021_V4_yBQaTJX.AGS,"ABBR",83,94

21-26216_DETS_16122021_V4_yBQaTJX.AGS,"UNIT",96,106

21-26216_DETS_16122021_V4_yBQaTJX.AGS,"TYPE",108,119

D1043-21-23122021_YNX0iWj.ags,"PROJ",0,4

D1043-21-23122021_YNX0iWj.ags,"ABBR",6,27

D1043-21-23122021_YNX0iWj.ags,"TRAN",29,33

D1043-21-23122021_YNX0iWj.ags,"TYPE",35,56

D1043-21-23122021_YNX0iWj.ags,"UNIT",58,77

D1043-21-23122021_YNX0iWj.ags,"CONG",79,86

D1043-21-23122021_YNX0iWj.ags,"CONS",88,115

D1043-21-23122021_YNX0iWj.ags,"GRAG",117,171

D1043-21-23122021_YNX0iWj.ags,"GRAT",173,1535

D1043-21-23122021_YNX0iWj.ags,"LBSG",1537,1546

D1043-21-23122021_YNX0iWj.ags,"LBST",1548,1971

D1043-21-23122021_YNX0iWj.ags,"LLPL",1973,2025

D1043-21-23122021_YNX0iWj.ags,"LNMC",2027,2079

D1043-21-23122021_YNX0iWj.ags,"LOCA",2081,2096

D1043-21-23122021_YNX0iWj.ags,"PTST",2098,2103

D1043-21-23122021_YNX0iWj.ags,"SAMP",2105,2311

D1043-21-23122021_YNX0iWj.ags,"TREG",2313,2320

D1043-21-23122021_YNX0iWj.ags,"TRET",2322,2329

D1043-21-23122021_YNX0iWj.ags,"TRIG",2331,2380

D1043-21-23122021_YNX0iWj.ags,"TRIT",2382,2431

