file_name,group_name,pointid,count
21-24889_DETS_29112021_V4_olxHqpn.AGS,LOCA,"BH-3"
,1

21-24889_DETS_29112021_V4_olxHqpn.AGS,LOCA,"BH10D"
,1

21-24889_DETS_29112021_V4_olxHqpn.AGS,LOCA,"BH3D"
,1

21-24889_DETS_29112021_V4_olxHqpn.AGS,LOCA,"BH6D"
,1

21-24889_DETS_29112021_V4_olxHqpn.AGS,LOCA,"BH7D"
,1

21-24889_DETS_29112021_V4_olxHqpn.AGS,SAMP,"BH-3",1

21-24889_DETS_29112021_V4_olxHqpn.AGS,SAMP,"BH10D",6

21-24889_DETS_29112021_V4_olxHqpn.AGS,SAMP,"BH3D",1

21-24889_DETS_29112021_V4_olxHqpn.AGS,SAMP,"BH6D",2

21-24889_DETS_29112021_V4_olxHqpn.AGS,SAMP,"BH7D",2

21-24889_DETS_29112021_V4_olxHqpn.AGS,GCHM,"BH10D",20

21-24889_DETS_29112021_V4_olxHqpn.AGS,GCHM,"BH3D",4

21-24889_DETS_29112021_V4_olxHqpn.AGS,GCHM,"BH-3",4

21-24889_DETS_29112021_V4_olxHqpn.AGS,GCHM,"BH6D",6

21-24889_DETS_29112021_V4_olxHqpn.AGS,GCHM,"BH7D",6

21-25178_DETS_01122021_V4_voqdf6o.AGS,LOCA,"DCP10"
,1

21-25178_DETS_01122021_V4_voqdf6o.AGS,LOCA,"DCP1"
,1

21-25178_DETS_01122021_V4_voqdf6o.AGS,LOCA,"DCP7"
,1

21-25178_DETS_01122021_V4_voqdf6o.AGS,LOCA,"DCP8"
,1

21-25178_DETS_01122021_V4_voqdf6o.AGS,LOCA,"DCP9"
,1

21-25178_DETS_01122021_V4_voqdf6o.AGS,SAMP,"DCP1",1

21-25178_DETS_01122021_V4_voqdf6o.AGS,SAMP,"DCP10",1

21-25178_DETS_01122021_V4_voqdf6o.AGS,SAMP,"DCP7",2

21-25178_DETS_01122021_V4_voqdf6o.AGS,SAMP,"DCP8",1

21-25178_DETS_01122021_V4_voqdf6o.AGS,SAMP,"DCP9",1

21-25178_DETS_01122021_V4_voqdf6o.AGS,GCHM,"DCP8",4

21-25178_DETS_01122021_V4_voqdf6o.AGS,GCHM,"DCP7",6

21-25178_DETS_01122021_V4_voqdf6o.AGS,GCHM,"DCP1",2

21-25178_DETS_01122021_V4_voqdf6o.AGS,GCHM,"DCP10",2

21-25178_DETS_01122021_V4_voqdf6o.AGS,GCHM,"DCP9",2

21-25179_DETS_01122021_V4_C0gkuFB.AGS,LOCA,"BH06-D"
,1

21-25179_DETS_01122021_V4_C0gkuFB.AGS,SAMP,"BH06-D",5

21-25179_DETS_01122021_V4_C0gkuFB.AGS,GCHM,"BH06-D",20

21-26216_DETS_16122021_V4_kPgr3Q7.AGS,LOCA,"BH-03D"
,1

21-26216_DETS_16122021_V4_kPgr3Q7.AGS,LOCA,"BH-10D"
,1

21-26216_DETS_16122021_V4_kPgr3Q7.AGS,SAMP,"BH-03D",7

21-26216_DETS_16122021_V4_kPgr3Q7.AGS,SAMP,"BH-10D",5

21-26216_DETS_16122021_V4_kPgr3Q7.AGS,GCHM,"BH-03D",28

21-26216_DETS_16122021_V4_kPgr3Q7.AGS,GCHM,"BH-10D",20

D1043-21-23122021_Okwdq4m.ags,CONG,"BH-10D",1

D1043-21-23122021_Okwdq4m.ags,CONG,"BH-6D",1

D1043-21-23122021_Okwdq4m.ags,CONG,"BH-3D",1

D1043-21-23122021_Okwdq4m.ags,CONG,"BH-7D",1

D1043-21-23122021_Okwdq4m.ags,CONS,"BH-10D",6

D1043-21-23122021_Okwdq4m.ags,CONS,"BH-6D",6

D1043-21-23122021_Okwdq4m.ags,CONS,"BH-3D",6

D1043-21-23122021_Okwdq4m.ags,CONS,"BH-7D",6

D1043-21-23122021_Okwdq4m.ags,GRAG,"BH-10D",10

D1043-21-23122021_Okwdq4m.ags,GRAG,"BH-3D",12

D1043-21-23122021_Okwdq4m.ags,GRAG,"BH-6D",6

D1043-21-23122021_Okwdq4m.ags,GRAG,"BH-7D",14

D1043-21-23122021_Okwdq4m.ags,GRAG,"DCP1",1

D1043-21-23122021_Okwdq4m.ags,GRAG,"DCP10",1

D1043-21-23122021_Okwdq4m.ags,GRAG,"DCP5",2

D1043-21-23122021_Okwdq4m.ags,GRAG,"DCP7",1

D1043-21-23122021_Okwdq4m.ags,GRAG,"DCP8",1

D1043-21-23122021_Okwdq4m.ags,GRAG,"DCP9",1

D1043-21-23122021_Okwdq4m.ags,GRAG,"TP02",1

D1043-21-23122021_Okwdq4m.ags,GRAG,"TP03",1

D1043-21-23122021_Okwdq4m.ags,GRAT,"BH-10D",266

D1043-21-23122021_Okwdq4m.ags,GRAT,"BH-3D",332

D1043-21-23122021_Okwdq4m.ags,GRAT,"BH-6D",158

D1043-21-23122021_Okwdq4m.ags,GRAT,"BH-7D",374

D1043-21-23122021_Okwdq4m.ags,GRAT,"DCP1",29

D1043-21-23122021_Okwdq4m.ags,GRAT,"DCP10",29

D1043-21-23122021_Okwdq4m.ags,GRAT,"DCP5",42

D1043-21-23122021_Okwdq4m.ags,GRAT,"DCP7",29

D1043-21-23122021_Okwdq4m.ags,GRAT,"DCP8",29

D1043-21-23122021_Okwdq4m.ags,GRAT,"DCP9",29

D1043-21-23122021_Okwdq4m.ags,GRAT,"TP02",21

D1043-21-23122021_Okwdq4m.ags,GRAT,"TP03",21

D1043-21-23122021_Okwdq4m.ags,LBST,"BH-10D",83

D1043-21-23122021_Okwdq4m.ags,LBST,"BH-3D",113

D1043-21-23122021_Okwdq4m.ags,LBST,"BH-6D",79

D1043-21-23122021_Okwdq4m.ags,LBST,"BH-7D",114

D1043-21-23122021_Okwdq4m.ags,LBST,"DCP7",6

D1043-21-23122021_Okwdq4m.ags,LBST,"DCP1",3

D1043-21-23122021_Okwdq4m.ags,LBST,"DCP10",3

D1043-21-23122021_Okwdq4m.ags,LBST,"DCP5",5

D1043-21-23122021_Okwdq4m.ags,LBST,"DCP8",3

D1043-21-23122021_Okwdq4m.ags,LBST,"DCP9",3

D1043-21-23122021_Okwdq4m.ags,LBST,"TP02",4

D1043-21-23122021_Okwdq4m.ags,LBST,"TP03",4

D1043-21-23122021_Okwdq4m.ags,LLPL,"BH-10D",7

D1043-21-23122021_Okwdq4m.ags,LLPL,"BH-3D",16

D1043-21-23122021_Okwdq4m.ags,LLPL,"BH-6D",12

D1043-21-23122021_Okwdq4m.ags,LLPL,"BH-7D",13

D1043-21-23122021_Okwdq4m.ags,LLPL,"DCP7",1

D1043-21-23122021_Okwdq4m.ags,LNMC,"BH-10D",7

D1043-21-23122021_Okwdq4m.ags,LNMC,"BH-3D",16

D1043-21-23122021_Okwdq4m.ags,LNMC,"BH-6D",12

D1043-21-23122021_Okwdq4m.ags,LNMC,"BH-7D",13

D1043-21-23122021_Okwdq4m.ags,LNMC,"DCP7",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"BH-10D",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"BH-3D",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"BH-6D",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"BH-7D",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"DCP7",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"DCP1",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"DCP10",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"DCP5",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"DCP8",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"DCP9",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"TP02",1

D1043-21-23122021_Okwdq4m.ags,LOCA,"TP03",1

D1043-21-23122021_Okwdq4m.ags,PTST,"BH-6D",1

D1043-21-23122021_Okwdq4m.ags,PTST,"BH-7D",1

D1043-21-23122021_Okwdq4m.ags,SAMP,"BH-10D",42

D1043-21-23122021_Okwdq4m.ags,SAMP,"BH-3D",52

D1043-21-23122021_Okwdq4m.ags,SAMP,"BH-6D",36

D1043-21-23122021_Okwdq4m.ags,SAMP,"BH-7D",55

D1043-21-23122021_Okwdq4m.ags,SAMP,"DCP7",3

D1043-21-23122021_Okwdq4m.ags,SAMP,"DCP1",2

D1043-21-23122021_Okwdq4m.ags,SAMP,"DCP10",2

D1043-21-23122021_Okwdq4m.ags,SAMP,"DCP5",3

D1043-21-23122021_Okwdq4m.ags,SAMP,"DCP8",2

D1043-21-23122021_Okwdq4m.ags,SAMP,"DCP9",2

D1043-21-23122021_Okwdq4m.ags,SAMP,"TP02",2

D1043-21-23122021_Okwdq4m.ags,SAMP,"TP03",2

D1043-21-23122021_Okwdq4m.ags,TREG,"BH-10D",1

D1043-21-23122021_Okwdq4m.ags,TREG,"BH-6D",1

D1043-21-23122021_Okwdq4m.ags,TREG,"BH-3D",1

D1043-21-23122021_Okwdq4m.ags,TREG,"BH-7D",1

D1043-21-23122021_Okwdq4m.ags,TRET,"BH-10D",1

D1043-21-23122021_Okwdq4m.ags,TRET,"BH-6D",1

D1043-21-23122021_Okwdq4m.ags,TRET,"BH-3D",1

D1043-21-23122021_Okwdq4m.ags,TRET,"BH-7D",1

D1043-21-23122021_Okwdq4m.ags,TRIG,"BH-10D",13

D1043-21-23122021_Okwdq4m.ags,TRIG,"BH-6D",9

D1043-21-23122021_Okwdq4m.ags,TRIG,"BH-3D",12

D1043-21-23122021_Okwdq4m.ags,TRIG,"BH-7D",12

